identifier;title;author;source_date;publication_date;source;type
1962_Herbert-Zbigniew_O-albigensach;O albigensach, inkwizytorach i trubadurach;Zbigniew Herbert;1962;2008?;Barbarzyńca w ogrodzie https://edukacja.3bird.pl/download/filozofia/sredniowiecze/filozofia-zbigniew-herbert-barbarzynca-w-ogrodzie.pdf;literary
1962_Herbert-Zbigniew_Obrona;Obrona Templariuszy;Zbigniew Herbert;1962;2008?;Barbarzyńca w ogrodzie https://edukacja.3bird.pl/download/filozofia/sredniowiecze/filozofia-zbigniew-herbert-barbarzynca-w-ogrodzie.pdf;literary
1962_Herbert-Zbigniew_Piero;Piero della Francesca;Zbigniew Herbert;1962;2008?;Barbarzyńca w ogrodzie https://edukacja.3bird.pl/download/filozofia/sredniowiecze/filozofia-zbigniew-herbert-barbarzynca-w-ogrodzie.pdf;literary
1962_Herbert-Zbigniew_Wspomnienia;Wspomnienia z Valois;Zbigniew Herbert;1962;2008?;Barbarzyńca w ogrodzie https://edukacja.3bird.pl/download/filozofia/sredniowiecze/filozofia-zbigniew-herbert-barbarzynca-w-ogrodzie.pdf;literary
1936_Milosz-Czeslaw_List-do-obroncow;List do obrońców kultury;Czesław Miłosz;2000;1936;Eseje, wybór i posłowie M. Zaleski;literary
1931_Stempowski-Jerzy_Pan-Jowialski;Pan Jowialski i jego spadkobiercy;Jerzy Stempowski;2005;1931;Eseje dla Kassandry;literary
1931_Stempowski-Jerzy_Polacy;Polacy w powieściach Dostojewskiego;Jerzy Stempowski;2005;1931;Eseje dla Kassandry;literary
1938_Stempowski-Jerzy_Graniczne;Graniczne punkty sztuki u naturalistów;Jerzy Stempowski;2005;1938;Eseje dla Kassandry;literary
1933_Stempowski-Jerzy_Chimera;Chimera jako zwierzę pociągowe;Jerzy Stempowski;2005;1933;Eseje dla Kassandry;literary
1938_Stempowski-Jerzy_Pelnomocnictwa;Pełnomocnictwa recenzenta;Jerzy Stempowski;2005;1938;Eseje dla Kassandry;literary
1941_Micinski-Boleslaw_Portret-Kanta;Potret Kanta;Bolesław Miciński;1941;1941;http://www.chmuraczytania.pl/uploads/134/files/PDF/Boles%C5%82aw%20Micinski%20-%20Portret%20Kanta%20-%20wersja%20PDF.pdf;literary
1947_Bielatowicz-Jan_Hej-wino;Hej, wino, wino, wino;Jan Bielatowicz;2017;1947;;literary
1947_Bobkowski-Andrzej_Na-drogach-Francji;Na drogach Francji;Andrzej Bobkowski;2017;1947;"https://polona.pl/item/nowiny-literackie-r-1-nr-37-30-listopada-1947,NzU0NTU1NjI/3/#info:metadata; Polski esej literacki. Antologia (18 stron)";literary
1948_Stempowski-Jerzy_Ksiegozbior;Księgozbiór przemytników;Jerzy Stempowski (Paweł Hostowiec);2017;1948;"https://kpbc.umk.pl/dlibra/publication/10558/edition/17739/content; Polski esej literacki. Antologia (17 stron)";literary
1948_Czapski-Jozef_Groby;Groby czy skarby;Józef Czapski;2017;1948;https://static.kulturaparyska.com/attachments/68/1d/b1af75e9c5020a3e3a440655ea4e53e8bf8cf603.pdf#page=36, Polski esej literacki. Antologia (15 stron);literary
1950_Jelenski-Konstanty_Apokalipsa;Apokalipsa i perspektywa;Konstanty Jeleński;2017;1950;https://static.kulturaparyska.com/attachments/1d/da/a75652af6b3ce38c1920fa7f758ab6020b27680f.pdf#page=13 , Polski esej literacki. Antologia (12 stron);literary
1950_Mackiewicz-Stanislaw_Dziecinstwo;[Dzieciństwo Dostojewskiego];Stanisław Mackiewicz;2017;1950;https://kpbc.umk.pl/dlibra/doccontent?id=17575 i inne numery, w Antologii stron 15;literary
1951_Parandowski-Jan_Praca;Praca;Jan Parandowski;2017;1951;Polski esej lit. Antologia https://staticnowyportal.kulturaparyska.com/attachments/29/5d/b64568f35d7f78be288424c307ab79fa25168439.pdf#page=3;literary
1953_Gombrowicz_Sienkiewicz;Sienkiewicz;Witold Gombrowicz;2017;1953;Polski esej lit. Antologia https://staticnowyportal.kulturaparyska.com/attachments/29/5d/b64568f35d7f78be288424c307ab79fa25168439.pdf#page=3;literary
1954_Milosz-Czeslaw_Niedziela;Niedziela w Brunnen;Czesław Miłosz;2017;1954;Polski ese lit. Antologia (21 stron) https://staticnowyportal.kulturaparyska.com/attachments/e6/cd/b30d697ba7d61d6108e8c73d3bbe16ad4711d311.pdf#page=22;literary
1957_Brahmer-Mieczyslaw_Leonardo;"Leonardo - ""człowiek nieuczony""";Mieczysław Brahmer;2017;1957;Polski esej literacki. Antologia;literary
1957_Kuncewiczowa-Maria_Odkrycie;Odkrycie Patusanu;Maria Kuncewiczowa;2017;1957;Polski esej literacki. Antologia;literary
1957_Wyka-Kazimierz_Wstep;Wstep;Kazimierz Wyka;2020;1957;Życie na niby https://wolnelektury.pl/katalog/lektura/wyka-zycie-na-niby/;literary
1957_Wyka-Kazimierz_O-swicie;O świcie;Kazimierz Wyka;2020;1957;Życie na niby https://wolnelektury.pl/katalog/lektura/wyka-zycie-na-niby/;literary
1957_Wyka-Kazimierz_Dwie-jesienie;Dwie jesienie;Kazimierz Wyka;1957;1957;Życie na niby https://wolnelektury.pl/katalog/lektura/wyka-zycie-na-niby/;literary
1957_Wyka-Kazimierz_Gospodarka;Gospodarka wyłączona;Kazimierz Wyka;1957;1957;Życie na niby https://wolnelektury.pl/katalog/lektura/wyka-zycie-na-niby/;literary
1957_Wyka-Kazimierz_Historia;Historia trzech godzin;Kazimierz Wyka;1957;1957;Życie na niby https://wolnelektury.pl/katalog/lektura/wyka-zycie-na-niby/;literary
1957_Wyka-Kazimierz_Haus;Haus Kressendorf w hrabstwie tenczyńskim;Kazimierz Wyka;1957;1957;Życie na niby https://wolnelektury.pl/katalog/lektura/wyka-zycie-na-niby/;literary
1957_Wyka-Kazimierz_Miecz;Miecz Syreny;Kazimierz Wyka;1957;1957;Życie na niby https://wolnelektury.pl/katalog/lektura/wyka-zycie-na-niby/;literary
1957_Wyka-Kazimierz_Faust;Faust na ruinach;Kazimierz Wyka;1957;1957;Życie na niby https://wolnelektury.pl/katalog/lektura/wyka-zycie-na-niby/;literary
1954_Bielatowicz-Jan_Pax;Pax;Jan Bielatowicz;2003;1954;Heck;literary
1953_Milosz-Czeslaw_Murti-Bing;Murti-Bing;Czesław Miłosz;2003;1953;Heck;literary
1957_Gombrowicz-Witold_Dziennik1953-1956-fragm;Fragmenty Dziennika (1953-1956);Witold Gombrowicz;2003;1957;Heck;literary
1956_Kubiak-Zygmunt_Natura-i-obled;Natura i obłęd;Zygmunt Kubiak;2003;1956;Heck;literary
1957_Wyka-Kazimierz_Gospodarka-wylaczona;Gospodarka wyłączona;Kazimierz Wyka;2003;1957;Heck;literary
1958_Czapski-Jozef_Narodowosc;Narodowość czy wyłączność;Józef Czapski;2003;1958;Heck;literary
1953_Stempowski-Jerzy_O-czernieniu;O czernieniu papieru;Jerzy Stempowski;2005;1953;Eseje dla Kassandry;literary
1957_Stempowski-Jerzy_Klimat;Klimat życia i klimat literatury;Jerzy Stempowski;2005;1957;Eseje dla Kassandry;literary
1957_Stempowski-Jerzy_Czytajac;Czytając Tukidydesa;Jerzy Stempowski;2005;1957;Eseje dla Kassandry;literary
1950_Stempowski-Jerzy_Mosieur;Monsieur Chlewaski;Jerzy Stempowski;2005;1950;Eseje dla Kassandry;literary
1951_Stempowski-Jerzy_Dzieci;Dzieci Warszawy w początkach XX stulecia;Jerzy Stempowski;2005;1951;Eseje dla Kassandry;literary
1951_Stempowski-Jerzy_Wronia;Wronia i Sienna;Jerzy Stempowski;2005;1951;Eseje dla Kassandry;literary
1954_Stempowski-Jerzy_Obrazy;Obrazy z czasów kryzysu rolnego;Jerzy Stempowski;2005;1954;Eseje dla Kassandry;literary
1956_Stempowski-Jerzy_Portert;Portret młodego Panurga;Jerzy Stempowski;2005;1956;Eseje dla Kassandry;literary
1954_Stempowski-Jerzy_Rubis;Rubis d'Orient;Jerzy Stempowski;2005;1954;Eseje dla Kassandry;literary
1957_Stempowski-Jerzy_Nad-wodospadem;Nad wodospadem w Szafuzie;Jerzy Stempowski;2005;1957;Eseje dla Kassandry;literary
1958_Stempowski-Jerzy_Granice;Granice literatury;Jerzy Stempowski;2005;1958;Eseje dla Kassandry;literary
